iter	Accuracy	MultiClass
0	0.6630434783	1.083071608
1	0.6793478261	1.066642806
2	0.6820652174	1.05106585
3	0.7038043478	1.034655129
4	0.6739130435	1.02085884
5	0.6820652174	1.004231112
6	0.6902173913	0.9919813021
7	0.6875	0.9798559146
8	0.6983695652	0.9663115548
9	0.6983695652	0.9533042892
10	0.7119565217	0.9431271701
11	0.7119565217	0.9317986431
12	0.7065217391	0.9222190659
13	0.7119565217	0.9140150879
14	0.7065217391	0.9069693516
15	0.7092391304	0.899358022
16	0.7065217391	0.8900483984
17	0.714673913	0.8829961853
18	0.714673913	0.876952276
19	0.714673913	0.8698525507
20	0.7201086957	0.8627372274
21	0.7282608696	0.85590587
22	0.7282608696	0.8496799322
23	0.7255434783	0.8406116464
24	0.7255434783	0.8337953914
25	0.7201086957	0.8268425436
26	0.7201086957	0.820172929
27	0.7173913043	0.8139081846
28	0.7201086957	0.8086258668
29	0.7173913043	0.8032598294
30	0.7173913043	0.7985222045
31	0.7173913043	0.7924334334
32	0.7173913043	0.7885747532
33	0.7201086957	0.7838669162
34	0.722826087	0.7786500561
35	0.722826087	0.7723260613
36	0.722826087	0.7684391264
37	0.7173913043	0.7643187747
38	0.722826087	0.757908946
39	0.7309782609	0.7541156171
40	0.7309782609	0.7501818289
41	0.7336956522	0.7449894783
42	0.7391304348	0.7400840129
43	0.7418478261	0.7360789226
44	0.7418478261	0.7321804677
45	0.7391304348	0.7292913925
46	0.7418478261	0.7264674219
47	0.7472826087	0.7229233961
48	0.7418478261	0.7184584706
49	0.7472826087	0.7144289647
50	0.7445652174	0.7108460907
51	0.7472826087	0.7078329546
52	0.7472826087	0.7046762546
53	0.75	0.7017659508
54	0.7554347826	0.6981208547
55	0.75	0.6954893984
56	0.75	0.6920987484
57	0.7445652174	0.6893714509
58	0.7527173913	0.685467693
59	0.7527173913	0.6829012297
60	0.75	0.6801298281
61	0.7445652174	0.6774145847
62	0.75	0.6742640898
63	0.7472826087	0.6717162304
64	0.75	0.6687061484
65	0.7445652174	0.6662379531
66	0.7445652174	0.663995925
67	0.7445652174	0.6618343293
68	0.7472826087	0.6589309507
69	0.75	0.6557885036
70	0.7527173913	0.6529402062
71	0.7581521739	0.6496057857
72	0.7554347826	0.6470486309
73	0.7581521739	0.644333471
74	0.7581521739	0.6423203671
75	0.7581521739	0.6400950303
76	0.7581521739	0.637569793
77	0.7581521739	0.6358267987
78	0.7581521739	0.6332009772
79	0.7581521739	0.6313241763
80	0.7581521739	0.6292132276
81	0.7581521739	0.6269555903
82	0.7581521739	0.6240581013
83	0.7608695652	0.6210416722
84	0.7635869565	0.6188738197
85	0.7635869565	0.6172879756
86	0.7635869565	0.6157487785
87	0.7663043478	0.6132809247
88	0.7663043478	0.6111813278
89	0.7663043478	0.6088811574
90	0.7663043478	0.6079305513
91	0.7663043478	0.6065411756
92	0.7690217391	0.6050264223
93	0.7690217391	0.6024717331
94	0.7690217391	0.6002007534
95	0.7690217391	0.5980937165
96	0.7690217391	0.5958482574
97	0.7690217391	0.5934020498
98	0.7717391304	0.5913067537
99	0.7717391304	0.5897879737
100	0.7717391304	0.5878595949
101	0.777173913	0.5848925078
102	0.7717391304	0.5832438892
103	0.7826086957	0.5803429089
104	0.785326087	0.5780422084
105	0.7826086957	0.5769680586
106	0.7880434783	0.575482552
107	0.785326087	0.5735870163
108	0.7798913043	0.5715588887
109	0.785326087	0.5694077626
110	0.785326087	0.5672727192
111	0.7907608696	0.5651217753
112	0.7989130435	0.5625500944
113	0.7989130435	0.5605383945
114	0.7961956522	0.5592615606
115	0.8043478261	0.5571836658
116	0.8043478261	0.555906172
117	0.8016304348	0.5538016081
118	0.8016304348	0.5519332116
119	0.8016304348	0.5500513706
120	0.7989130435	0.5478886831
121	0.8016304348	0.5463310198
122	0.8043478261	0.5448322753
123	0.8043478261	0.5430744511
124	0.8016304348	0.5407940998
125	0.8043478261	0.5390197816
126	0.8043478261	0.5375720316
127	0.8043478261	0.536361158
128	0.8097826087	0.5342277262
129	0.8097826087	0.5325587656
130	0.8097826087	0.5296980288
131	0.8097826087	0.5271308038
132	0.8097826087	0.5258654499
133	0.8125	0.5239607353
134	0.8097826087	0.5209439256
135	0.8097826087	0.5196682789
136	0.8125	0.5184206663
137	0.8179347826	0.5161370406
138	0.8206521739	0.51467471
139	0.8260869565	0.5127384054
140	0.8260869565	0.5115815876
141	0.8260869565	0.5106159798
142	0.8288043478	0.5092593747
143	0.8260869565	0.5082811468
144	0.8206521739	0.507502543
145	0.8260869565	0.5064965413
146	0.8288043478	0.5051271218
147	0.8260869565	0.5037398111
148	0.8288043478	0.5013144457
149	0.8342391304	0.4994575737
150	0.8342391304	0.4955792977
151	0.8423913043	0.4941603049
152	0.8423913043	0.4914675914
153	0.8505434783	0.4902700421
154	0.847826087	0.4889789444
155	0.8505434783	0.4870418097
156	0.8505434783	0.4863691919
157	0.8505434783	0.4847182345
158	0.8559782609	0.4824910758
159	0.8532608696	0.480982714
160	0.8532608696	0.4799045366
161	0.8532608696	0.4779663824
162	0.8586956522	0.4759266663
163	0.8559782609	0.4739646491
164	0.8559782609	0.4723757438
165	0.8668478261	0.4703769416
166	0.8641304348	0.4680839126
167	0.8641304348	0.4664133305
168	0.8641304348	0.465287682
169	0.8641304348	0.4642207437
170	0.8668478261	0.4624496766
171	0.8641304348	0.4608525498
172	0.8668478261	0.459411513
173	0.8641304348	0.4585160677
174	0.8668478261	0.4566708461
175	0.8668478261	0.4554649282
176	0.8668478261	0.4540936458
177	0.8668478261	0.452996062
178	0.8668478261	0.4523702579
179	0.8695652174	0.4502319731
180	0.8722826087	0.4492745302
181	0.8722826087	0.447166668
182	0.8722826087	0.4462770656
183	0.875	0.4437612721
184	0.875	0.442731204
185	0.875	0.4419929427
186	0.8777173913	0.4404267653
187	0.8777173913	0.4394791196
188	0.8804347826	0.4377041186
189	0.8804347826	0.4366640975
190	0.8804347826	0.4344893014
191	0.8804347826	0.433311208
192	0.8804347826	0.4310004385
193	0.8831521739	0.4299716251
194	0.8831521739	0.427984436
195	0.8831521739	0.426642756
