iter	Passed	Remaining
0	33	16539
1	57	14338
2	83	13914
3	108	13505
4	132	13133
5	155	12816
6	179	12636
7	202	12476
8	225	12321
9	248	12197
10	272	12101
11	295	12021
12	319	11954
13	342	11880
14	365	11830
15	389	11776
16	412	11715
17	436	11684
18	459	11640
19	483	11599
20	506	11557
21	529	11505
22	552	11460
23	575	11413
24	599	11385
25	621	11337
26	644	11297
27	668	11266
28	691	11231
29	714	11200
30	737	11163
31	760	11128
32	784	11097
33	807	11073
34	831	11053
35	856	11044
36	880	11018
37	903	10989
38	928	10978
39	974	11212
40	1008	11288
41	1041	11359
42	1072	11393
43	1102	11430
44	1131	11439
45	1234	12184
46	1276	12307
47	1306	12306
48	1331	12259
49	1360	12244
50	1388	12224
51	1414	12184
52	1441	12157
53	1468	12128
54	1494	12091
55	1521	12062
56	1546	12017
57	1573	11988
58	1602	11974
59	1627	11933
60	1654	11910
61	1680	11869
62	1704	11826
63	1729	11783
64	1754	11740
65	1778	11695
66	1803	11655
67	1829	11621
68	1854	11580
69	1877	11535
70	1903	11502
71	1928	11464
72	1953	11427
73	1977	11384
74	2002	11347
75	2027	11313
76	2051	11272
77	2077	11241
78	2102	11201
79	2126	11164
80	2151	11127
81	2175	11087
82	2200	11056
83	2224	11018
84	2254	11007
85	2279	10974
86	2304	10939
87	2331	10917
88	2360	10901
89	2389	10887
90	2420	10877
91	2453	10878
92	2485	10876
93	2513	10855
94	2544	10847
95	2574	10832
96	2602	10811
97	2632	10798
98	2660	10777
99	2686	10745
100	2712	10715
101	2738	10685
102	2764	10654
103	2789	10620
104	2814	10587
105	2839	10554
106	2864	10519
107	2888	10482
108	2915	10457
109	2939	10423
110	2965	10391
111	2990	10359
112	3014	10325
113	3039	10292
114	3065	10261
115	3091	10232
116	3117	10205
117	3141	10170
118	3167	10140
119	3191	10107
120	3217	10077
121	3242	10044
122	3267	10015
123	3292	9984
124	3317	9951
125	3343	9924
126	3369	9897
127	3394	9865
128	3419	9833
129	3444	9802
130	3469	9772
131	3495	9743
132	3520	9713
133	3544	9680
134	3569	9651
135	3595	9623
136	3620	9591
137	3645	9563
138	3670	9533
139	3695	9501
140	3720	9472
141	3746	9445
142	3772	9418
143	3797	9387
144	3822	9358
145	3848	9332
146	3873	9302
147	3899	9275
148	3924	9246
149	3949	9215
150	3974	9185
151	3999	9156
152	4023	9125
153	4048	9096
154	4076	9072
155	4102	9046
156	4131	9025
157	4162	9009
158	4192	8990
159	4217	8963
160	4247	8943
161	4275	8921
162	4305	8901
163	4333	8877
164	4361	8856
165	4391	8835
166	4418	8811
167	4444	8783
168	4474	8763
169	4502	8739
170	4527	8710
171	4556	8688
172	4582	8662
173	4607	8632
174	4635	8608
175	4660	8580
176	4687	8554
177	4717	8534
178	4742	8505
179	4766	8474
180	4791	8444
181	4817	8417
182	4842	8388
183	4867	8358
184	4892	8331
185	4917	8302
186	4943	8274
187	4970	8248
188	4995	8220
189	5020	8190
190	5044	8160
191	5068	8131
192	5093	8101
193	5118	8072
194	5142	8042
195	5166	8013
196	5190	7983
197	5214	7953
198	5238	7924
199	5263	7894
200	5287	7864
201	5310	7834
202	5336	7806
203	5361	7779
204	5386	7751
205	5411	7723
206	5436	7694
207	5465	7672
208	5490	7644
209	5515	7616
210	5540	7588
211	5564	7559
212	5588	7530
213	5613	7502
214	5638	7473
215	5662	7445
216	5687	7417
217	5711	7388
218	5737	7361
219	5761	7332
220	5785	7303
221	5810	7275
222	5834	7247
223	5858	7218
224	5884	7191
225	5909	7164
226	5933	7136
227	5958	7107
228	5983	7080
229	6007	7052
230	6031	7023
231	6055	6995
232	6104	6995
233	6148	6989
234	6177	6965
235	6202	6938
236	6228	6912
237	6254	6885
238	6301	6881
239	6334	6862
240	6366	6842
241	6395	6818
242	6423	6793
243	6452	6770
244	6483	6747
245	6513	6724
246	6544	6703
247	6573	6679
248	6604	6657
249	6634	6634
250	6664	6611
251	6692	6586
252	6722	6563
253	6755	6542
254	6785	6519
255	6814	6495
256	6845	6473
257	6873	6447
258	6903	6424
259	6934	6400
260	6965	6378
261	6994	6353
262	7024	6329
263	7054	6306
264	7085	6283
265	7118	6261
266	7147	6237
267	7179	6214
268	7208	6189
269	7237	6165
270	7267	6141
271	7297	6117
272	7329	6094
273	7371	6079
274	7409	6061
275	7447	6044
276	7489	6029
277	7530	6013
278	7576	6001
279	7614	5982
280	7650	5962
281	7691	5945
282	7721	5920
283	7752	5896
284	7784	5872
285	7816	5848
286	7848	5825
287	7879	5800
288	7911	5775
289	7939	5749
290	7969	5723
291	8002	5700
292	8032	5674
293	8062	5649
294	8092	5623
295	8122	5597
296	8151	5571
297	8182	5546
298	8210	5519
299	8251	5500
300	8293	5483
301	8335	5465
302	8367	5440
303	8390	5409
304	8413	5379
305	8437	5349
306	8461	5319
307	8486	5290
308	8510	5260
309	8535	5231
310	8559	5201
311	8583	5172
312	8608	5142
313	8632	5113
314	8656	5083
315	8680	5054
316	8704	5024
317	8728	4995
318	8752	4966
319	8776	4936
320	8800	4907
321	8824	4878
322	8849	4849
323	8874	4820
324	8898	4791
325	8926	4764
326	8950	4735
327	8974	4705
328	9000	4677
329	9024	4648
330	9048	4619
331	9072	4590
332	9097	4562
333	9121	4533
334	9145	4504
335	9169	4475
336	9193	4446
337	9216	4417
338	9241	4388
339	9265	4360
340	9291	4332
341	9315	4303
342	9341	4275
343	9365	4247
344	9394	4220
345	9489	4223
346	9531	4202
347	9559	4175
348	9584	4146
349	9612	4119
350	9638	4091
351	9662	4062
352	9689	4034
353	9715	4007
354	9742	3979
355	9768	3951
356	9795	3923
357	9822	3896
358	9848	3868
359	9874	3840
360	9904	3813
361	9932	3786
362	9958	3758
363	9986	3731
364	10012	3703
365	10037	3674
366	10063	3647
367	10088	3618
368	10115	3590
369	10141	3563
370	10170	3536
371	10197	3508
372	10226	3482
373	10254	3454
374	10286	3428
375	10312	3400
376	10339	3373
377	10366	3345
378	10392	3317
379	10420	3290
380	10448	3263
381	10476	3236
382	10505	3209
383	10532	3181
384	10558	3153
385	10587	3126
386	10617	3100
387	10644	3072
388	10669	3044
389	10694	3016
390	10720	2988
391	10746	2960
392	10772	2932
393	10798	2905
394	10823	2877
395	10850	2849
396	10878	2822
397	10906	2795
398	10932	2767
399	10957	2739
400	10985	2712
401	11015	2685
402	11043	2658
403	11070	2630
404	11095	2602
405	11120	2574
406	11145	2546
407	11169	2518
408	11194	2490
409	11219	2462
410	11246	2435
411	11274	2408
412	11298	2380
413	11324	2352
414	11348	2324
415	11374	2296
416	11402	2269
417	11429	2242
418	11455	2214
419	11479	2186
420	11503	2158
421	11526	2130
422	11549	2102
423	11574	2074
424	11597	2046
425	11625	2019
426	11648	1991
427	11672	1963
428	11695	1935
429	11718	1907
430	11742	1879
431	11766	1852
432	11789	1824
433	11814	1796
434	11837	1768
435	11861	1741
436	11884	1713
437	11907	1685
438	11931	1657
439	11955	1630
440	11977	1602
441	12000	1574
442	12023	1547
443	12046	1519
444	12069	1491
445	12093	1464
446	12116	1436
447	12139	1409
448	12162	1381
449	12186	1354
450	12210	1326
451	12234	1299
452	12257	1271
453	12281	1244
454	12304	1216
455	12327	1189
456	12350	1162
457	12373	1134
458	12396	1107
459	12419	1079
460	12443	1052
461	12467	1025
462	12490	998
463	12513	970
464	12536	943
465	12560	916
466	12583	889
467	12606	861
468	12630	834
469	12654	807
470	12678	780
471	12701	753
472	12724	726
473	12747	699
474	12771	672
475	12794	645
476	12818	618
477	12841	591
478	12865	564
479	12888	537
480	12911	510
481	12934	483
482	12957	456
483	12982	429
484	13005	402
485	13029	375
486	13053	348
487	13077	321
488	13100	294
489	13124	267
490	13147	240
491	13171	214
492	13194	187
493	13218	160
494	13241	133
495	13265	106
496	13288	80
497	13311	53
498	13334	26
499	13357	0
